Fitur Kontras,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Dissimilarity,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Homogenitas,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Entropi,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur ASM,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Energy,Derajat 0,Derajat 45,Derajat 90,Derajat 135,Fitur Correlations,Derajat 0,Derajat 45,Derajat 90,Derajat 135
Baked Potato-Train (1),149.90058210783957,261.4984390619013,209.37787990195304,379.6574394463659,Baked Potato-Train (1),6.969730392156796,9.473587081891758,7.25674019607827,10.897239523260385,Baked Potato-Train (1),0.32909027035092087,0.2546114481008353,0.40829210391730697,0.23827679314844,Baked Potato-Train (1),12.750987923367116,13.238972373671198,12.603776282688102,13.370352480712034,Baked Potato-Train (1),0.0002523226446483924,0.0001616287823525125,0.00039314337484381006,0.00014812260566980938,Baked Potato-Train (1),0.015884666966870676,0.01271333089133263,0.019827843423928133,0.012170563079406366,Baked Potato-Train (1),0.9847689799587255,0.9734640387449124,0.9787178804820287,0.961474225042926
Baked Potato-Train (10),260.43826593137186,361.2330642060777,164.78484987744866,358.52524413687325,Baked Potato-Train (10),9.757352941175965,11.392510572856644,6.296737132352713,11.608304498269861,Baked Potato-Train (10),0.24067443328499302,0.21690277532605937,0.4729586339702144,0.20904405278637872,Baked Potato-Train (10),12.595314039768603,12.849006187961884,11.630294937280217,12.878102670309865,Baked Potato-Train (10),0.0002782441652174044,0.00023466241431703214,0.0010391310442873535,0.00022563669579070894,Baked Potato-Train (10),0.016680652421815052,0.015318694928649507,0.032235555591417275,0.015021208200098583,Baked Potato-Train (10),0.9218201539539769,0.8913692907610951,0.9504914729115599,0.8921844702410812
Baked Potato-Train (100),782.9053308823369,1771.1937408688548,1255.4340533088102,1782.921753171816,Baked Potato-Train (100),12.483241421565776,24.687289504036578,20.532521446075258,24.815947712418215,Baked Potato-Train (100),0.5005999485530532,0.16800078591233608,0.19257635352488459,0.16717985211787442,Baked Potato-Train (100),12.282084077786958,14.111279621629217,13.750431036828397,14.121613800768277,Baked Potato-Train (100),0.00104985678209703,0.00016250408524447392,0.0002106024988886486,0.00016124304362871112,Baked Potato-Train (100),0.03240149351645739,0.012747709019446354,0.014512150043623743,0.012698151189394113,Baked Potato-Train (100),0.9278394081905073,0.8365970111660481,0.8842395394666881,0.8355143335361465
Baked Potato-Train (101),136.43128063725436,424.5552479815441,320.5111672794085,386.4488427527853,Baked Potato-Train (101),6.216452205882153,12.965121107266505,11.216406249999377,12.609488658208495,Baked Potato-Train (101),0.45745888802362134,0.18261210441394843,0.2000676101185264,0.18309227229063998,Baked Potato-Train (101),12.133804135863928,13.488605593893118,13.247735512316515,13.473872384551735,Baked Potato-Train (101),0.0006714065475493201,0.0001306954220576743,0.00015285892332576415,0.00013011243864003452,Baked Potato-Train (101),0.025911513802734876,0.011432209850141586,0.012363612875117214,0.011406683945829065,Baked Potato-Train (101),0.9803896183770549,0.9390016597068285,0.9539551406993889,0.9444766090495771
Baked Potato-Train (102),255.72849264705363,693.2117185697755,492.4729166666646,583.8489042675837,Baked Potato-Train (102),8.201194852940759,16.260668973472004,13.465318627449632,14.787989234909798,Baked Potato-Train (102),0.45850851405959087,0.1925789814733631,0.21909016608679213,0.2006287753763571,Baked Potato-Train (102),12.286635901930406,13.66954215907631,13.357104130179293,13.56813736185429,Baked Potato-Train (102),0.0008408067960640139,0.00018332416139594376,0.00022235839562157584,0.00019251401399603647,Baked Potato-Train (102),0.028996668706318902,0.013539725307255822,0.01491168654517576,0.013874941945681663,Baked Potato-Train (102),0.9665269679038875,0.9093233228742362,0.9356622137331775,0.9236292120259071
Baked Potato-Train (103),689.759191176454,1429.8068281429885,1027.3743106617467,1455.5502806612426,Baked Potato-Train (103),14.468566176466519,25.11506343713971,20.81462928921263,25.504021530180506,Baked Potato-Train (103),0.38589236290419443,0.13879006457585213,0.18019282457223254,0.13677128648513917,Baked Potato-Train (103),13.165533491791553,14.467592532491587,14.112910573261521,14.486646562849078,Baked Potato-Train (103),0.0004207160829443603,6.823826816084252e-05,0.00010336330696877403,6.737384447261805e-05,Baked Potato-Train (103),0.020511364726520768,0.008260645747206603,0.010166774659092923,0.008208157191027597,Baked Potato-Train (103),0.9302121687014905,0.8552708854964444,0.8959458848001137,0.852669460659202
Baked Potato-Train (104),73.00278799019554,153.8983775470965,109.45165441176393,155.56625913110153,Baked Potato-Train (104),2.7489276960784466,4.473294886582153,3.653492647058841,4.632003075740185,Baked Potato-Train (104),0.7661552180478162,0.6937632874645623,0.7326490367604083,0.6904564971017628,Baked Potato-Train (104),5.969430159538082,6.38268903984107,6.174815225836561,6.394673589329516,Baked Potato-Train (104),0.312022747668978,0.3050434354278609,0.30929625209410894,0.30522163039945155,Baked Potato-Train (104),0.5585899638097501,0.5523073740480575,0.5561440929238654,0.552468669156407,Baked Potato-Train (104),0.9883142957094406,0.9754210778134236,0.9824783776132836,0.975154702479758
Baked Potato-Train (105),277.2443933823483,655.9153094963266,509.05860906861943,614.4929796232127,Baked Potato-Train (105),7.644822303921305,13.180146097654973,11.284650735293202,12.434263744713778,Baked Potato-Train (105),0.46602666981486895,0.25849833144474477,0.30332260176641096,0.2680203168192409,Baked Potato-Train (105),11.847694296796334,12.83616254190922,12.546317503894285,12.787114539699804,Baked Potato-Train (105),0.001474909270923443,0.0005845872724254608,0.0007567692939614573,0.0005912765636970727,Baked Potato-Train (105),0.038404547529211214,0.0241782396469524,0.027509440088112614,0.024316179052167566,Baked Potato-Train (105),0.9614499398420129,0.9087761228534773,0.9292587003739077,0.9145371599608443
Baked Potato-Train (106),262.4723345588193,359.8348481353339,155.17818627450683,353.9503114186845,Baked Potato-Train (106),9.752359068626427,11.69142637447155,6.375827205882004,11.385328719723203,Baked Potato-Train (106),0.2939957161485804,0.2546354781318262,0.486151543868734,0.26259179943884114,Baked Potato-Train (106),12.658283924731425,12.983201007513527,11.789440838468078,12.92238542925063,Baked Potato-Train (106),0.0004952846880556756,0.0003685819830039048,0.0011002194684361184,0.00039939590856206644,Baked Potato-Train (106),0.022254992429917284,0.019198489081276807,0.033169556349702936,0.019984892007765927,Baked Potato-Train (106),0.955159712198717,0.9385462712623853,0.9734663397203178,0.9395512172057959
Baked Potato-Train (107),236.46600796568174,472.1243675509433,280.22493872548654,389.92607458669676,Baked Potato-Train (107),8.192539828431213,13.036201460976715,9.45024509803859,11.720276816609067,Baked Potato-Train (107),0.42906635067299537,0.27429621921788333,0.3731833056493523,0.2851897607434764,Baked Potato-Train (107),11.999127319709642,12.85863400616616,12.325961223699165,12.75173722726859,Baked Potato-Train (107),0.0018380715011954538,0.0010783621654404652,0.0013839402541615605,0.0010726945733024044,Baked Potato-Train (107),0.042872736105775355,0.03283842513642311,0.03720134747776699,0.03275201632422658,Baked Potato-Train (107),0.9573918317256471,0.9148857047532937,0.94949609099824,0.9297045629458253
